street_edge_id,region_id,x1,y1,x2,y2,geom
3144,"NUEVA BANQUETES",-102.0264394,20.3258297,-102.02643442683923,20.3258500557756,0102000020E610000002000000D5B0051AB18159C0BBF4C4E86A533440DB94E12EB18159C0C490419369533440
3145,"EJIDO LOS MORENO",-102.02643442683923,20.3258500557756,-102.0263943,20.3260143,0102000020E61000000200000041D3B771B08159C0418754AC75533440D5B0051AB18159C0BBF4C4E86A533440
3146,"EJIDO LOS MORENO",-102.0263943,20.3260143,-102.0262964,20.326705,0102000020E6100000030000002A8018D7AE8159C08F705AF0A2533440A6875748AF8159C01D8F19A88C53344041D3B771B08159C0418754AC75533440
3147,"EJIDO LOS MORENO",-102.0262938,20.3271436,-102.0263596,20.3275537,0102000020E610000003000000E2FB2CE0AF8159C00D2F2D8FDA533440002F7DF9AE8159C04202EBDDC45334409BC530CCAE8159C08018D7AEBF533440
3148,"EJIDO LOS MORENO",-102.0262964,20.326705,-102.0262938,20.3271436,0102000020E6100000030000009BC530CCAE8159C08018D7AEBF533440FAE472CDAE8159C0FABC3D63BA5334402A8018D7AE8159C08F705AF0A2533440
3149,"EJIDO LOS MORENO",-102.0263525,20.3284251,-102.0263543,20.3288229,0102000020E610000002000000F926F2C9AF8159C006ADD1BC2D543440BE6A65C2AF8159C07FAFD7AA13543440
3150,"EJIDO LOS MORENO",-102.0263615,20.327987,-102.0263525,20.3284251,0102000020E610000002000000BE6A65C2AF8159C07FAFD7AA13543440E71725E8AF8159C05E83BEF4F6533440
3151,"EJIDO LOS MORENO",-102.0263596,20.3275537,-102.0263615,20.327987,0102000020E610000002000000E71725E8AF8159C05E83BEF4F6533440E2FB2CE0AF8159C00D2F2D8FDA533440
3152,"EJIDO LOS MORENO",-102.0254831,20.3297183,-102.0254225,20.3300275,0102000020E6100000020000004985B185A08159C0D847A7AE7C5434407246DE83A18159C08964236B68543440
3153,"EJIDO LOS MORENO",-102.0256421,20.3289104,-102.0254831,20.3297183,0102000020E6100000020000007246DE83A18159C08964236B68543440A639C31EA48159C07550D37833543440
3154,"EJIDO LOS MORENO",-102.0239807,20.3293861,-102.0246899,20.3296624,0102000020E610000003000000A842F284948159C08BB84AC1645434408B016D06938159C016DC0F78605434400D8F58E6888159C0CA41BFA552543440
3155,"EJIDO LOS MORENO",-102.0232475,20.3291655,-102.0239807,20.3293861,0102000020E6100000030000000D8F58E6888159C0CA41BFA5525434404D277E31808159C0300A270E45543440AE0D15E37C8159C0B378B13044543440
3156,"EJIDO LOS MORENO",-102.0239807,20.3293861,-102.0239727,20.3302447,0102000020E610000002000000CC9FCAC4888159C0662DAAEA8A5434400D8F58E6888159C0CA41BFA552543440
3157,"EJIDO LOS MORENO",-102.0236268,20.3296375,-102.0236156,20.3303038,0102000020E6100000020000003A6B01EB828159C099BE32CA8E543440C953FB19838159C003098A1F63543440
3158,"EJIDO LOS MORENO",-102.025354,20.3300368,-102.0253351,20.3303939,0102000020E610000002000000387C1C179F8159C0434CD3B194543440A83462669F8159C0FB79AE4A7D543440
3159,"EJIDO LOS MORENO",-102.025285,20.3318006,-102.0252731,20.3321468,0102000020E610000002000000FD7D10139E8159C097789B92075534401405FA449E8159C00ECB55E2F0543440
3160,"EJIDO LOS MORENO",-102.0253193,20.3307492,-102.02533,20.3310971,0102000020E610000002000000E466B8019F8159C0EA4C90C7C25434404A5DD7D49E8159C09C2DC5FAAB543440
3161,"EJIDO LOS MORENO",-102.0253351,20.3303939,-102.0253193,20.3307492,0102000020E6100000020000004A5DD7D49E8159C09C2DC5FAAB543440387C1C179F8159C0434CD3B194543440
3162,"EJIDO LOS MORENO",-102.0253127,20.3314404,-102.025285,20.3318006,0102000020E6100000020000001405FA449E8159C00ECB55E2F05434401AAB28B99E8159C0BB922E47D9543440
